"Label (Grouping)","Total:","Total:!!Black or African American alone"
"Census Tract 2067; Macomb County; Michigan","",""
"    Estimate","3,654","50"
"Census Tract 2100; Macomb County; Michigan","",""
"    Estimate","4,308","238"
"Census Tract 2110; Macomb County; Michigan","",""
"    Estimate","5,839","131"
"Census Tract 2120; Macomb County; Michigan","",""
"    Estimate","5,315","7"
"Census Tract 2140; Macomb County; Michigan","",""
"    Estimate","3,170","25"
"Census Tract 2145; Macomb County; Michigan","",""
"    Estimate","4,520","21"
"Census Tract 2150; Macomb County; Michigan","",""
"    Estimate","5,659","519"
"Census Tract 2152.01; Macomb County; Michigan","",""
"    Estimate","6,058","228"
"Census Tract 2152.02; Macomb County; Michigan","",""
"    Estimate","2,701","8"
"Census Tract 2153; Macomb County; Michigan","",""
"    Estimate","4,493","0"
"Census Tract 2155; Macomb County; Michigan","",""
"    Estimate","7,646","126"
"Census Tract 2160; Macomb County; Michigan","",""
"    Estimate","3,779","17"
"Census Tract 2170; Macomb County; Michigan","",""
"    Estimate","2,528","0"
"Census Tract 2180.01; Macomb County; Michigan","",""
"    Estimate","6,341","570"
"Census Tract 2180.02; Macomb County; Michigan","",""
"    Estimate","3,486","909"
"Census Tract 2200.02; Macomb County; Michigan","",""
"    Estimate","4,398","180"
"Census Tract 2200.03; Macomb County; Michigan","",""
"    Estimate","5,141","16"
"Census Tract 2200.04; Macomb County; Michigan","",""
"    Estimate","2,521","0"
"Census Tract 2211; Macomb County; Michigan","",""
"    Estimate","7,108","302"
"Census Tract 2212; Macomb County; Michigan","",""
"    Estimate","5,823","500"
"Census Tract 2215; Macomb County; Michigan","",""
"    Estimate","1,275","11"
"Census Tract 2218; Macomb County; Michigan","",""
"    Estimate","5,003","426"
"Census Tract 2221.03; Macomb County; Michigan","",""
"    Estimate","2,847","559"
"Census Tract 2221.04; Macomb County; Michigan","",""
"    Estimate","2,932","330"
"Census Tract 2221.05; Macomb County; Michigan","",""
"    Estimate","5,046","32"
"Census Tract 2221.06; Macomb County; Michigan","",""
"    Estimate","4,664","803"
"Census Tract 2225; Macomb County; Michigan","",""
"    Estimate","3,994","44"
